Date,Close,SharesTraded
09-09-2022,17833.35,270299618
12-09-2022,17936.35,228242025
13-09-2022,18070.05,259922741
14-09-2022,18003.75,365866933
15-09-2022,17877.4,289637528
16-09-2022,17530.85,468464263
19-09-2022,17622.25,258329581
20-09-2022,17816.25,263100874
21-09-2022,17718.35,245532498
22-09-2022,17629.8,284094023
23-09-2022,17327.35,390754862
26-09-2022,17016.3,492002942
27-09-2022,17007.4,359895458
28-09-2022,16858.6,323922457
29-09-2022,16818.1,340034380
30-09-2022,17094.35,380204763
03-10-2022,16887.35,285850587
04-10-2022,17274.3,231601639
06-10-2022,17331.8,268239320
07-10-2022,17314.65,216273136
10-10-2022,17241,234005512
11-10-2022,16983.55,282617982
12-10-2022,17123.6,256037322
13-10-2022,17014.35,266438674
14-10-2022,17185.7,226997138
17-10-2022,17311.8,212223419
18-10-2022,17486.95,239493630
19-10-2022,17512.25,210480869
20-10-2022,17563.95,249604832
21-10-2022,17576.3,277702680
24-10-2022,17730.75,45029477
25-10-2022,17656.35,251358203
27-10-2022,17736.95,324649088
28-10-2022,17786.8,250030113
31-10-2022,18012.2,227174539
01-11-2022,18145.4,349924808
02-11-2022,18082.85,270878019
03-11-2022,18052.7,212968291
04-11-2022,18117.15,267941526
07-11-2022,18202.8,314758398
09-11-2022,18157,307155149
10-11-2022,18028.2,256451785
11-11-2022,18349.7,378469072
14-11-2022,18329.15,301401961
15-11-2022,18403.4,250926391
16-11-2022,18409.65,219268992
17-11-2022,18343.9,200512910
18-11-2022,18307.65,198794846
21-11-2022,18159.95,213794598
22-11-2022,18244.2,177681099
23-11-2022,18267.25,178791087
24-11-2022,18484.1,204044559
25-11-2022,18512.75,205876043
28-11-2022,18562.75,206468884
29-11-2022,18618.05,195255179
30-11-2022,18758.35,345636288
01-12-2022,18812.5,324955829
02-12-2022,18696.1,254401004
05-12-2022,18701.05,288393766
06-12-2022,18642.75,217777090
07-12-2022,18560.5,200501720
08-12-2022,18609.35,202811256
09-12-2022,18496.6,215839572
12-12-2022,18497.15,193883468
13-12-2022,18608,187585567
14-12-2022,18660.3,208030337
15-12-2022,18414.9,183127544
16-12-2022,18269,277650193
19-12-2022,18420.45,154847475
20-12-2022,18385.3,169041783
21-12-2022,18199.1,187594274
22-12-2022,18127.35,195699650
23-12-2022,17806.8,221454773
26-12-2022,18014.6,176652342
27-12-2022,18132.3,214257094
28-12-2022,18122.5,193873167
29-12-2022,18191,281052828
30-12-2022,18105.3,192005563
