day_count,HistoricalDate,OPEN,CLOSE,daily_change,daily_change_perc,year
3,28-12-2022,18084.75,18122.5,37.75,0.208739408,2022
4,27-12-2022,18089.8,18132.3,42.5,0.234939026,2022
5,26-12-2022,17830.4,18014.6,184.2,1.033067121,2022
6,23-12-2022,17977.65,17806.8,-170.85,-0.95034668,2022
7,22-12-2022,18288.8,18127.35,-161.45,-0.882780718,2022
8,21-12-2022,18435.15,18199.1,-236.05,-1.280434388,2022
9,20-12-2022,18340.3,18385.3,45,0.245361308,2022
10,19-12-2022,18288.1,18420.45,132.35,0.723694643,2022
11,16-12-2022,18319.1,18269,-50.1,-0.273485051,2022
12,15-12-2022,18614.4,18414.9,-199.5,-1.071750903,2022
13,14-12-2022,18671.25,18660.3,-10.95,-0.058646315,2022
14,13-12-2022,18524.4,18608,83.6,0.451296668,2022
15,12-12-2022,18402.15,18497.15,95,0.516244026,2022
16,09-12-2022,18662.4,18496.6,-165.8,-0.888417353,2022
17,08-12-2022,18570.85,18609.35,38.5,0.207314151,2022
18,07-12-2022,18638.85,18560.5,-78.35,-0.420358552,2022
19,06-12-2022,18600.65,18642.75,42.1,0.226336176,2022
20,05-12-2022,18719.55,18701.05,-18.5,-0.098827162,2022
21,02-12-2022,18752.4,18696.1,-56.3,-0.300228237,2022
22,01-12-2022,18871.95,18812.5,-59.45,-0.315017791,2022
23,30-11-2022,18625.7,18758.35,132.65,0.712187998,2022
24,29-11-2022,18552.45,18618.05,65.6,0.353592113,2022
25,28-11-2022,18430.55,18562.75,132.2,0.71728733,2022
26,25-11-2022,18528.45,18512.75,-15.7,-0.084734557,2022
27,24-11-2022,18326.1,18484.1,158,0.862158342,2022
28,23-11-2022,18325.2,18267.25,-57.95,-0.316231201,2022
29,22-11-2022,18179.15,18244.2,65.05,0.357827511,2022
30,21-11-2022,18246.4,18159.95,-86.45,-0.47379209,2022
31,18-11-2022,18382.95,18307.65,-75.3,-0.409618696,2022
32,17-11-2022,18358.7,18343.9,-14.8,-0.08061573,2022
33,16-11-2022,18398.25,18409.65,11.4,0.061962415,2022
34,15-11-2022,18362.75,18403.4,40.65,0.221372071,2022
35,14-11-2022,18376.4,18329.15,-47.25,-0.257123267,2022
36,11-11-2022,18272.35,18349.7,77.35,0.423317198,2022
37,10-11-2022,18044.35,18028.2,-16.15,-0.0895017,2022
38,09-11-2022,18288.25,18157,-131.25,-0.717673916,2022
39,07-11-2022,18211.75,18202.8,-8.95,-0.049144097,2022
40,04-11-2022,18053.4,18117.15,63.75,0.35311908,2022
41,03-11-2022,17968.35,18052.7,84.35,0.469436537,2022
42,02-11-2022,18177.9,18082.85,-95.05,-0.522887682,2022
43,01-11-2022,18130.7,18145.4,14.7,0.081077951,2022
44,31-10-2022,17910.2,18012.2,102,0.569507878,2022
45,28-10-2022,17756.4,17786.8,30.4,0.171205875,2022
46,27-10-2022,17771.4,17736.95,-34.45,-0.193850794,2022
47,25-10-2022,17808.3,17656.35,-151.95,-0.85325382,2022
48,24-10-2022,17736.35,17730.75,-5.6,-0.031573576,2022
49,21-10-2022,17622.85,17576.3,-46.55,-0.264145697,2022
