,INDEX_NAME,HistoricalDate,OPEN,CLOSE,daily_change,daily_change_perc,year,day,week_number
516,Nifty 50,2021-12-01,17104.4,17166.9,62.5,0.37,2021,Wednesday,48
515,Nifty 50,2021-12-02,17183.2,17401.65,218.45,1.27,2021,Thursday,48
514,Nifty 50,2021-12-03,17424.9,17196.7,-228.2,-1.31,2021,Friday,48
513,Nifty 50,2021-12-06,17209.05,16912.25,-296.8,-1.72,2021,Monday,49
512,Nifty 50,2021-12-07,17044.1,17176.7,132.6,0.78,2021,Tuesday,49
511,Nifty 50,2021-12-08,17315.25,17469.75,154.5,0.89,2021,Wednesday,49
510,Nifty 50,2021-12-09,17524.4,17516.85,-7.55,-0.04,2021,Thursday,49
509,Nifty 50,2021-12-10,17476.05,17511.3,35.25,0.2,2021,Friday,49
508,Nifty 50,2021-12-13,17619.1,17368.25,-250.85,-1.42,2021,Monday,50
507,Nifty 50,2021-12-14,17283.2,17324.9,41.7,0.24,2021,Tuesday,50
506,Nifty 50,2021-12-15,17323.65,17221.4,-102.25,-0.59,2021,Wednesday,50
505,Nifty 50,2021-12-16,17373.0,17248.4,-124.6,-0.72,2021,Thursday,50
504,Nifty 50,2021-12-17,17276.0,16985.2,-290.8,-1.68,2021,Friday,50
503,Nifty 50,2021-12-20,16824.25,16614.2,-210.05,-1.25,2021,Monday,51
502,Nifty 50,2021-12-21,16773.15,16770.85,-2.3,-0.01,2021,Tuesday,51
501,Nifty 50,2021-12-22,16865.55,16955.45,89.9,0.53,2021,Wednesday,51
500,Nifty 50,2021-12-23,17066.8,17072.6,5.8,0.03,2021,Thursday,51
499,Nifty 50,2021-12-24,17149.5,17003.75,-145.75,-0.85,2021,Friday,51
498,Nifty 50,2021-12-27,16937.75,17086.25,148.5,0.88,2021,Monday,52
497,Nifty 50,2021-12-28,17177.6,17233.25,55.65,0.32,2021,Tuesday,52
496,Nifty 50,2021-12-29,17220.1,17213.6,-6.5,-0.04,2021,Wednesday,52
495,Nifty 50,2021-12-30,17201.45,17203.95,2.5,0.01,2021,Thursday,52
494,Nifty 50,2021-12-31,17244.5,17354.05,109.55,0.64,2021,Friday,52
493,Nifty 50,2022-01-03,17387.15,17625.7,238.55,1.37,2022,Monday,1
492,Nifty 50,2022-01-04,17681.4,17805.25,123.85,0.7,2022,Tuesday,1
491,Nifty 50,2022-01-05,17820.1,17925.25,105.15,0.59,2022,Wednesday,1
490,Nifty 50,2022-01-06,17768.5,17745.9,-22.6,-0.13,2022,Thursday,1
489,Nifty 50,2022-01-07,17797.6,17812.7,15.1,0.08,2022,Friday,1
488,Nifty 50,2022-01-10,17913.3,18003.3,90.0,0.5,2022,Monday,2
487,Nifty 50,2022-01-11,17997.75,18055.75,58.0,0.32,2022,Tuesday,2
486,Nifty 50,2022-01-12,18170.4,18212.35,41.95,0.23,2022,Wednesday,2
485,Nifty 50,2022-01-13,18257.0,18257.8,0.8,0.0,2022,Thursday,2
484,Nifty 50,2022-01-14,18185.0,18255.75,70.75,0.39,2022,Friday,2
483,Nifty 50,2022-01-17,18235.65,18308.1,72.45,0.4,2022,Monday,3
482,Nifty 50,2022-01-18,18337.2,18113.05,-224.15,-1.22,2022,Tuesday,3
481,Nifty 50,2022-01-19,18129.2,17938.4,-190.8,-1.05,2022,Wednesday,3
480,Nifty 50,2022-01-20,17921.0,17757.0,-164.0,-0.92,2022,Thursday,3
