day_count,date,OPEN,CLOSE,daily_change,daily_change_perc
77,26-04-2023,17767.3,17813.6,46.3,0.260591086
78,27-04-2023,17813.1,17915.05,101.95,0.572331599
79,28-04-2023,17950.4,18065,114.6,0.638425885
80,02-05-2023,18124.8,18147.65,22.85,0.126070357
81,03-05-2023,18113.8,18089.85,-23.95,-0.132219634
82,04-05-2023,18081,18255.8,174.8,0.966760688
83,05-05-2023,18117.3,18069,-48.3,-0.266596016
84,08-05-2023,18120.6,18264.4,143.8,0.793571957
85,09-05-2023,18303.4,18265.95,-37.45,-0.204606794
86,10-05-2023,18313.6,18315.1,1.5,0.008190634
87,11-05-2023,18357.8,18297,-60.8,-0.33119437
88,12-05-2023,18273.75,18314.8,41.05,0.224639168
89,15-05-2023,18339.3,18398.85,59.55,0.324712503
90,16-05-2023,18432.35,18286.5,-145.85,-0.791271867
91,17-05-2023,18300.45,18181.75,-118.7,-0.64861793
92,18-05-2023,18287.5,18129.95,-157.55,-0.86151743
93,19-05-2023,18186.15,18203.4,17.25,0.094852401
94,22-05-2023,18201.1,18314.4,113.3,0.62248985
95,23-05-2023,18362.9,18348,-14.9,-0.081141868
96,24-05-2023,18294.8,18285.4,-9.4,-0.05138072
97,25-05-2023,18268.9,18321.15,52.25,0.286005178
98,26-05-2023,18368.35,18499.35,131,0.713183274
99,29-05-2023,18619.15,18598.65,-20.5,-0.110101696
100,30-05-2023,18606.65,18633.85,27.2,0.146184294
101,31-05-2023,18594.2,18534.4,-59.8,-0.321605662
102,01-06-2023,18579.4,18487.75,-91.65,-0.493288265
103,02-06-2023,18550.85,18534.1,-16.75,-0.090292359
104,05-06-2023,18612,18593.85,-18.15,-0.09751773
105,06-06-2023,18600.8,18599,-1.8,-0.009677003
106,07-06-2023,18665.6,18726.4,60.8,0.325732899
107,08-06-2023,18725.35,18634.55,-90.8,-0.484904154
108,09-06-2023,18655.9,18563.4,-92.5,-0.495821697
109,12-06-2023,18595.05,18601.5,6.45,0.03468665
110,13-06-2023,18631.8,18716.15,84.35,0.452720617
111,14-06-2023,18744.6,18755.9,11.3,0.060284028
112,15-06-2023,18774.45,18688.1,-86.35,-0.45993358
113,16-06-2023,18723.3,18826,102.7,0.548514418
114,19-06-2023,18873.3,18755.45,-117.85,-0.624427101
115,20-06-2023,18752.35,18816.7,64.35,0.343156991
116,21-06-2023,18849.4,18856.85,7.45,0.039523804
117,22-06-2023,18853.6,18771.25,-82.35,-0.436786608
118,23-06-2023,18741.85,18665.5,-76.35,-0.407377073
119,26-06-2023,18682.35,18691.2,8.85,0.047370914
120,27-06-2023,18748.55,18817.4,68.85,0.367228399
121,28-06-2023,18908.15,18972.1,63.95,0.338213945
122,30-06-2023,19076.85,19189.05,112.2,0.588147414
123,03-07-2023,19246.5,19322.55,76.05,0.395136778
124,04-07-2023,19406.6,19389,-17.6,-0.090690796
125,05-07-2023,19405.95,19398.5,-7.45,-0.038390288
126,06-07-2023,19385.7,19497.3,111.6,0.575682075
127,07-07-2023,19422.8,19331.8,-91,-0.468521531
128,10-07-2023,19400.35,19355.9,-44.45,-0.229119578
129,11-07-2023,19427.1,19439.4,12.3,0.063313619
130,12-07-2023,19497.45,19384.3,-113.15,-0.5803323
131,13-07-2023,19495.2,19413.75,-81.45,-0.41779515
132,14-07-2023,19493.45,19564.5,71.05,0.364481403
